45,33
10,32
100,14
5,4
112,2
20,67
63,42
139,59
70,25
94,86
22,108
147,74
117,84
112,102
130,75
42,103
150,26
92,28
49,54
23,42
13,96
20,74
154,75
83,14
20,3
156,26
1,12
137,61
77,1
99,68
154,81
55,18
142,67
8,36
6,26
113,7
3,109
7,54
55,89
147,36
162,64
23,57
152,31
103,38
37,81
12,26
72,103
60,107
77,81
110,98
35,105
43,31
94,82
119,92
64,91
102,23
152,82
120,28
161,47
10,50
113,35
1,47
152,5
142,64
8,66
118,16
42,26
62,59
140,58
6,107
119,31
90,94
21,38
62,22
90,74
146,75
35,2
23,59
119,81
108,70
145,68
53,80
160,96
159,57
30,95
45,89
89,23
80,80
27,33
10,78
78,49
5,47
136,63
92,52
107,40
27,42
152,24
35,67
27,77
132,15
124,103
26,47
109,30
77,92
75,17
160,98
102,18
17,56
120,47
74,70
149,14
109,12
70,28
119,85
63,68
58,108
52,12
90,101
20,43
55,70
117,88
114,105
99,56
113,54
87,63
139,42
10,5
82,80
117,23
60,47
159,81
55,33
113,103
38,82
105,3
1,91
72,75
35,33
82,25
49,7
102,92
152,28
132,95
142,16
10,108
2,68
157,93
152,108
115,50
130,12
127,5
85,81
62,108
150,28
107,74
88,70
132,107
60,92
1,14
85,18
52,103
145,89
80,101
68,28
45,79
90,44
152,78
90,72
117,108
139,8
60,82
109,80
118,38
160,68
69,42
50,2
10,24
42,54
57,72
105,8
127,2
45,26
115,67
100,78
23,108
72,36
110,12
26,7
43,79
75,85
110,43
78,12
62,81
84,49
108,91
70,32
45,88
5,93
124,35
140,108
87,93
42,7
102,103
7,110
60,63
50,46
35,88
49,63
110,47
44,72
45,105
47,25
152,32
10,82
118,72
99,61
73,0
134,70
93,44
157,73
120,7
93,98
57,105
88,40
26,87
105,73
35,5
102,7
82,30
144,51
50,58
32,12
43,92
157,2
152,50

fold along x=163
fold along y=111
fold along x=81
fold along y=55
fold along x=40
fold along y=27
fold along y=13
fold along y=6
